MMWR Year,MMWR Week,Jurisdiction of Occurrence,"COVID-19 (U071, Underlying Cause of Death)"
2020,1,United States,0
2020,2,United States,1
2020,3,United States,1
2020,4,United States,2
2020,5,United States,0
2020,6,United States,3
2020,7,United States,2
2020,8,United States,6
2020,9,United States,9
2020,10,United States,34
2020,11,United States,55
2020,12,United States,550
2020,13,United States,"3,043"
2020,14,United States,"9,638"
2020,15,United States,"15,528"
2020,16,United States,"16,305"
2020,17,United States,"14,659"
2020,18,United States,"12,437"
2020,19,United States,"10,463"
2020,20,United States,"8,497"
2020,21,United States,"6,593"
2020,22,United States,"5,596"
2020,23,United States,"4,519"
2020,24,United States,"3,73"
2020,25,United States,"3,347"
2020,26,United States,"3,333"
2020,27,United States,"4,05"
2020,28,United States,"5,236"
2020,29,United States,"6,53"
2020,30,United States,"7,521"
2020,31,United States,"7,613"
2020,32,United States,"7,182"
2020,33,United States,"6,563"
2020,34,United States,"5,748"
2020,35,United States,"5,153"
2020,36,United States,"4,434"
2020,37,United States,"4,078"
2020,38,United States,"3,764"
2020,39,United States,"3,797"
2020,40,United States,"3,699"
2020,41,United States,"4,279"
2020,42,United States,"4,592"
2020,43,United States,"5,33"
2020,44,United States,"6,26"
2020,45,United States,"7,847"
2020,46,United States,"9,581"
2020,47,United States,"12,074"
2020,48,United States,"14,135"
2020,49,United States,"16,861"
2020,50,United States,"19,08"
2020,51,United States,"20,437"
2020,52,United States,"21,376"
2020,53,United States,"22,76"
2021,1,United States,"23,954"
2021,2,United States,"23,526"
2021,3,United States,"21,685"
2021,4,United States,"18,441"
2021,5,United States,"15,268"
2021,6,United States,"12,036"
2021,7,United States,"9,511"
2021,8,United States,"7,526"
2021,9,United States,"5,792"
2021,10,United States,"4,794"
2021,11,United States,"4,097"
2021,12,United States,"3,78"
2021,13,United States,"3,539"
2021,14,United States,"3,658"
2021,15,United States,"3,775"
2021,16,United States,"3,945"
2021,17,United States,"3,607"
2021,18,United States,"3,445"
2021,19,United States,"3,17"
2021,20,United States,"2,755"
2021,21,United States,"2,314"
2021,22,United States,"2,002"
2021,23,United States,"1,682"
2021,24,United States,"1,434"
2021,25,United States,"1,32"
2021,26,United States,"1,235"
2021,27,United States,"1,352"
2021,28,United States,"1,697"
2021,29,United States,"2,422"
2021,30,United States,"3,73"
2021,31,United States,"5,95"
2021,32,United States,"8,771"
2021,33,United States,"11,377"
2021,34,United States,"13,303"
2021,35,United States,"14,567"
2021,36,United States,"14,475"
2021,37,United States,"14,193"
2021,38,United States,"13,403"
2021,39,United States,"11,869"
2021,40,United States,"10,305"
2021,41,United States,"9,039"
2021,42,United States,"8,101"
2021,43,United States,"7,203"
2021,44,United States,"6,511"
2021,45,United States,"6,472"
2021,46,United States,"6,55"
2021,47,United States,"7,077"
2021,48,United States,"7,994"
2021,49,United States,"8,864"
2021,50,United States,"9,38"
2021,51,United States,"9,477"
2021,52,United States,"10,506"
2022,1,United States,"13,28"
2022,2,United States,"16,651"
2022,3,United States,"18,437"
2022,4,United States,"18,049"
2022,5,United States,"15,81"
2022,6,United States,"12,697"
2022,7,United States,"9,345"
2022,8,United States,"6,507"
2022,9,United States,"4,617"
2022,10,United States,"3,218"
2022,11,United States,"2,108"
2022,12,United States,"1,637"
2022,13,United States,"1,147"
2022,14,United States,909
2022,15,United States,807
2022,16,United States,788
2022,17,United States,845
2022,18,United States,865
2022,19,United States,"1,046"
2022,20,United States,"1,084"
2022,21,United States,"1,294"
2022,22,United States,"1,308"
2022,23,United States,"1,404"
2022,24,United States,"1,427"
2022,25,United States,"1,52"
2022,26,United States,"1,59"
2022,27,United States,"1,716"
2022,28,United States,2
2022,29,United States,"2,141"
2022,30,United States,"2,279"
2022,31,United States,"2,265"
2022,32,United States,"2,212"
2022,33,United States,"2,133"
2022,34,United States,"1,956"
2022,35,United States,"1,889"
2022,36,United States,"1,777"
2022,37,United States,"1,595"
2022,38,United States,"1,596"
2022,39,United States,"1,528"
2022,40,United States,"1,347"
2022,41,United States,"1,348"
2022,42,United States,"1,376"
2022,43,United States,"1,395"
2022,44,United States,"1,416"
2022,45,United States,"1,381"
2022,46,United States,"1,447"
2022,47,United States,"1,613"
2022,48,United States,"1,663"
2022,49,United States,"2,077"
2022,50,United States,"2,19"
2022,51,United States,"2,24"
2022,52,United States,"2,501"
2023,1,United States,"2,71"
2023,2,United States,"2,553"
2023,3,United States,"2,122"
2023,4,United States,"1,902"
2023,5,United States,"1,663"
2023,6,United States,"1,559"
2023,7,United States,"1,354"
2023,8,United States,"1,385"
2023,9,United States,"1,293"
2023,10,United States,"1,161"
2023,11,United States,"1,081"
2023,12,United States,"1,079"
2023,13,United States,897
2023,14,United States,828
2023,15,United States,755
2023,16,United States,738
2023,17,United States,634
2023,18,United States,573
2023,19,United States,491
2023,20,United States,452
2023,21,United States,445
2023,22,United States,403
2023,23,United States,372
2023,24,United States,354
2023,25,United States,343
2023,26,United States,332
2023,27,United States,282
2023,28,United States,317
2023,29,United States,323
2023,30,United States,334
2023,31,United States,445
2023,32,United States,494
2023,33,United States,586
2023,34,United States,696
2023,35,United States,746
2023,36,United States,782
2023,37,United States,706
2020,1,Alabama,0
2020,2,Alabama,0
2020,3,Alabama,0
2020,4,Alabama,0
2020,5,Alabama,0
2020,6,Alabama,0
2020,7,Alabama,0
2020,8,Alabama,0
2020,9,Alabama,
2020,10,Alabama,0
2020,11,Alabama,0
2020,12,Alabama,
2020,13,Alabama,20
2020,14,Alabama,45
2020,15,Alabama,77
2020,16,Alabama,85
2020,17,Alabama,78
2020,18,Alabama,75
2020,19,Alabama,105
2020,20,Alabama,89
2020,21,Alabama,78
2020,22,Alabama,99
2020,23,Alabama,86
2020,24,Alabama,75
2020,25,Alabama,81
2020,26,Alabama,95
2020,27,Alabama,119
2020,28,Alabama,122
2020,29,Alabama,172
2020,30,Alabama,241
2020,31,Alabama,238
2020,32,Alabama,253
2020,33,Alabama,214
2020,34,Alabama,197
2020,35,Alabama,175
2020,36,Alabama,142
2020,37,Alabama,130
2020,38,Alabama,134
2020,39,Alabama,100
2020,40,Alabama,99
2020,41,Alabama,127
2020,42,Alabama,112
2020,43,Alabama,112
2020,44,Alabama,119
2020,45,Alabama,141
2020,46,Alabama,165
2020,47,Alabama,155
2020,48,Alabama,186
2020,49,Alabama,239
2020,50,Alabama,362
2020,51,Alabama,363
2020,52,Alabama,422
2020,53,Alabama,479
2021,1,Alabama,528
2021,2,Alabama,570
2021,3,Alabama,550
2021,4,Alabama,460
2021,5,Alabama,333
2021,6,Alabama,249
2021,7,Alabama,192
2021,8,Alabama,152
2021,9,Alabama,93
2021,10,Alabama,93
2021,11,Alabama,72
2021,12,Alabama,68
2021,13,Alabama,57
2021,14,Alabama,49
2021,15,Alabama,38
2021,16,Alabama,38
2021,17,Alabama,41
2021,18,Alabama,60
2021,19,Alabama,46
2021,20,Alabama,40
2021,21,Alabama,24
2021,22,Alabama,31
2021,23,Alabama,31
2021,24,Alabama,17
2021,25,Alabama,28
2021,26,Alabama,21
2021,27,Alabama,34
2021,28,Alabama,40
2021,29,Alabama,57
2021,30,Alabama,102
2021,31,Alabama,213
2021,32,Alabama,326
2021,33,Alabama,403
2021,34,Alabama,459
2021,35,Alabama,476
2021,36,Alabama,531
2021,37,Alabama,454
2021,38,Alabama,395
2021,39,Alabama,350
2021,40,Alabama,246
2021,41,Alabama,204
2021,42,Alabama,142
2021,43,Alabama,92
2021,44,Alabama,74
2021,45,Alabama,78
2021,46,Alabama,44
2021,47,Alabama,52
2021,48,Alabama,59
2021,49,Alabama,53
2021,50,Alabama,63
2021,51,Alabama,65
2021,52,Alabama,65
2022,1,Alabama,141
2022,2,Alabama,203
2022,3,Alabama,258
2022,4,Alabama,359
2022,5,Alabama,358
2022,6,Alabama,337
2022,7,Alabama,265
2022,8,Alabama,207
2022,9,Alabama,137
2022,10,Alabama,85
2022,11,Alabama,57
2022,12,Alabama,36
2022,13,Alabama,22
2022,14,Alabama,21
2022,15,Alabama,
2022,16,Alabama,15
2022,17,Alabama,10
2022,18,Alabama,17
2022,19,Alabama,
2022,20,Alabama,
2022,21,Alabama,
2022,22,Alabama,11
2022,23,Alabama,21
2022,24,Alabama,17
2022,25,Alabama,15
2022,26,Alabama,36
2022,27,Alabama,33
2022,28,Alabama,52
2022,29,Alabama,43
2022,30,Alabama,45
2022,31,Alabama,55
2022,32,Alabama,55
2022,33,Alabama,41
2022,34,Alabama,31
2022,35,Alabama,40
2022,36,Alabama,38
2022,37,Alabama,36
2022,38,Alabama,30
2022,39,Alabama,23
2022,40,Alabama,14
2022,41,Alabama,13
2022,42,Alabama,20
2022,43,Alabama,20
2022,44,Alabama,13
2022,45,Alabama,14
2022,46,Alabama,19
2022,47,Alabama,17
2022,48,Alabama,21
2022,49,Alabama,27
2022,50,Alabama,30
2022,51,Alabama,26
2022,52,Alabama,31
2023,1,Alabama,42
2023,2,Alabama,49
2023,3,Alabama,52
2023,4,Alabama,36
2023,5,Alabama,42
2023,6,Alabama,25
2023,7,Alabama,32
2023,8,Alabama,34
2023,9,Alabama,17
2023,10,Alabama,20
2023,11,Alabama,12
2023,12,Alabama,15
2023,13,Alabama,15
2023,14,Alabama,14
2023,15,Alabama,
2023,16,Alabama,
2023,17,Alabama,16
2023,18,Alabama,13
2023,19,Alabama,10
2023,20,Alabama,
2023,21,Alabama,
2023,22,Alabama,
2023,23,Alabama,
2023,24,Alabama,
2023,25,Alabama,
2023,26,Alabama,
2023,27,Alabama,
2023,28,Alabama,
2023,29,Alabama,
2023,30,Alabama,
2023,31,Alabama,12
2023,32,Alabama,17
2023,33,Alabama,12
2023,34,Alabama,
2023,35,Alabama,20
2023,36,Alabama,19
2023,37,Alabama,13
2020,1,Alaska,0
2020,2,Alaska,0
2020,3,Alaska,0
2020,4,Alaska,0
2020,5,Alaska,0
2020,6,Alaska,0
2020,7,Alaska,0
2020,8,Alaska,0
2020,9,Alaska,0
2020,10,Alaska,0
2020,11,Alaska,0
2020,12,Alaska,0
2020,13,Alaska,
2020,14,Alaska,
2020,15,Alaska,
2020,16,Alaska,
2020,17,Alaska,0
2020,18,Alaska,0
2020,19,Alaska,0
2020,20,Alaska,0
2020,21,Alaska,0
2020,22,Alaska,0
2020,23,Alaska,0
2020,24,Alaska,
2020,25,Alaska,0
2020,26,Alaska,0
2020,27,Alaska,
2020,28,Alaska,
2020,29,Alaska,
2020,30,Alaska,
2020,31,Alaska,
2020,32,Alaska,
2020,33,Alaska,
2020,34,Alaska,
2020,35,Alaska,
2020,36,Alaska,
2020,37,Alaska,
2020,38,Alaska,
2020,39,Alaska,
2020,40,Alaska,
2020,41,Alaska,
2020,42,Alaska,
2020,43,Alaska,
2020,44,Alaska,
2020,45,Alaska,
2020,46,Alaska,15
2020,47,Alaska,13
2020,48,Alaska,16
2020,49,Alaska,29
2020,50,Alaska,22
2020,51,Alaska,19
2020,52,Alaska,19
2020,53,Alaska,10
2021,1,Alaska,12
2021,2,Alaska,
2021,3,Alaska,
2021,4,Alaska,
2021,5,Alaska,
2021,6,Alaska,
2021,7,Alaska,
2021,8,Alaska,
2021,9,Alaska,
2021,10,Alaska,
2021,11,Alaska,
2021,12,Alaska,
2021,13,Alaska,
2021,14,Alaska,
2021,15,Alaska,
2021,16,Alaska,
2021,17,Alaska,
2021,18,Alaska,12
2021,19,Alaska,
2021,20,Alaska,
2021,21,Alaska,
2021,22,Alaska,
2021,23,Alaska,
2021,24,Alaska,
2021,25,Alaska,
2021,26,Alaska,
2021,27,Alaska,
2021,28,Alaska,0
2021,29,Alaska,
2021,30,Alaska,15
2021,31,Alaska,24
2021,32,Alaska,23
2021,33,Alaska,22
2021,34,Alaska,17
2021,35,Alaska,34
2021,36,Alaska,28
2021,37,Alaska,39
2021,38,Alaska,50
2021,39,Alaska,54
2021,40,Alaska,41
2021,41,Alaska,42
2021,42,Alaska,44
2021,43,Alaska,55
2021,44,Alaska,33
2021,45,Alaska,24
2021,46,Alaska,22
2021,47,Alaska,28
2021,48,Alaska,16
2021,49,Alaska,15
2021,50,Alaska,
2021,51,Alaska,
2021,52,Alaska,
2022,1,Alaska,12
2022,2,Alaska,12
2022,3,Alaska,13
2022,4,Alaska,19
2022,5,Alaska,13
2022,6,Alaska,23
2022,7,Alaska,17
2022,8,Alaska,14
2022,9,Alaska,12
2022,10,Alaska,
2022,11,Alaska,
2022,12,Alaska,
2022,13,Alaska,
2022,14,Alaska,
2022,15,Alaska,
2022,16,Alaska,
2022,17,Alaska,
2022,18,Alaska,
2022,19,Alaska,
2022,20,Alaska,
2022,21,Alaska,
2022,22,Alaska,
2022,23,Alaska,
2022,24,Alaska,
2022,25,Alaska,
2022,26,Alaska,
2022,27,Alaska,
2022,28,Alaska,
2022,29,Alaska,
2022,30,Alaska,
2022,31,Alaska,
2022,32,Alaska,
2022,33,Alaska,
2022,34,Alaska,
2022,35,Alaska,
2022,36,Alaska,
2022,37,Alaska,
2022,38,Alaska,
2022,39,Alaska,
2022,40,Alaska,
2022,41,Alaska,
2022,42,Alaska,
2022,43,Alaska,
2022,44,Alaska,0
2022,45,Alaska,0
2022,46,Alaska,
2022,47,Alaska,
2022,48,Alaska,0
2022,49,Alaska,
2022,50,Alaska,
2022,51,Alaska,
2022,52,Alaska,
2023,1,Alaska,
2023,2,Alaska,
2023,3,Alaska,
2023,4,Alaska,0
2023,5,Alaska,0
2023,6,Alaska,
2023,7,Alaska,
2023,8,Alaska,
2023,9,Alaska,
2023,10,Alaska,
2023,11,Alaska,
2023,12,Alaska,0
2023,13,Alaska,0
2023,14,Alaska,0
2023,15,Alaska,
2023,16,Alaska,0
2023,17,Alaska,0
2023,18,Alaska,
2023,19,Alaska,0
2023,20,Alaska,0
2023,21,Alaska,
2023,22,Alaska,
2023,23,Alaska,0
2023,24,Alaska,
2023,25,Alaska,0
2023,26,Alaska,0
2023,27,Alaska,
2023,28,Alaska,
2023,29,Alaska,
2023,30,Alaska,
2023,31,Alaska,
2023,32,Alaska,0
2023,33,Alaska,0
2023,34,Alaska,
2023,35,Alaska,
2023,36,Alaska,
2023,37,Alaska,0
2020,1,Arizona,0
2020,2,Arizona,0
2020,3,Arizona,0
2020,4,Arizona,0
2020,5,Arizona,0
2020,6,Arizona,0
2020,7,Arizona,0
2020,8,Arizona,0
2020,9,Arizona,0
2020,10,Arizona,0
2020,11,Arizona,0
2020,12,Arizona,
2020,13,Arizona,29
2020,14,Arizona,55
2020,15,Arizona,88
2020,16,Arizona,87
2020,17,Arizona,99
2020,18,Arizona,96
2020,19,Arizona,121
2020,20,Arizona,111
2020,21,Arizona,90
2020,22,Arizona,101
2020,23,Arizona,127
2020,24,Arizona,154
2020,25,Arizona,193
2020,26,Arizona,239
2020,27,Arizona,359
2020,28,Arizona,479
2020,29,Arizona,509
2020,30,Arizona,450
2020,31,Arizona,362
2020,32,Arizona,279
2020,33,Arizona,232
2020,34,Arizona,155
2020,35,Arizona,113
2020,36,Arizona,80
2020,37,Arizona,56
2020,38,Arizona,55
2020,39,Arizona,44
2020,40,Arizona,30
2020,41,Arizona,47
2020,42,Arizona,39
2020,43,Arizona,57
2020,44,Arizona,71
2020,45,Arizona,102
2020,46,Arizona,113
2020,47,Arizona,182
2020,48,Arizona,286
2020,49,Arizona,387
2020,50,Arizona,526
2020,51,Arizona,682
2020,52,Arizona,708
2020,53,Arizona,817
2021,1,Arizona,891
2021,2,Arizona,939
2021,3,Arizona,894
2021,4,Arizona,717
2021,5,Arizona,613
2021,6,Arizona,458
2021,7,Arizona,306
2021,8,Arizona,212
2021,9,Arizona,158
2021,10,Arizona,103
2021,11,Arizona,94
2021,12,Arizona,62
2021,13,Arizona,48
2021,14,Arizona,53
2021,15,Arizona,46
2021,16,Arizona,38
2021,17,Arizona,47
2021,18,Arizona,56
2021,19,Arizona,48
2021,20,Arizona,46
2021,21,Arizona,37
2021,22,Arizona,35
2021,23,Arizona,27
2021,24,Arizona,33
2021,25,Arizona,40
2021,26,Arizona,34
2021,27,Arizona,35
2021,28,Arizona,50
2021,29,Arizona,65
2021,30,Arizona,101
2021,31,Arizona,119
2021,32,Arizona,147
2021,33,Arizona,171
2021,34,Arizona,203
2021,35,Arizona,253
2021,36,Arizona,265
2021,37,Arizona,246
2021,38,Arizona,272
2021,39,Arizona,255
2021,40,Arizona,231
2021,41,Arizona,243
2021,42,Arizona,216
2021,43,Arizona,258
2021,44,Arizona,251
2021,45,Arizona,322
2021,46,Arizona,344
2021,47,Arizona,428
2021,48,Arizona,446
2021,49,Arizona,510
2021,50,Arizona,454
2021,51,Arizona,447
2021,52,Arizona,409
2022,1,Arizona,393
2022,2,Arizona,424
2022,3,Arizona,436
2022,4,Arizona,443
2022,5,Arizona,416
2022,6,Arizona,352
2022,7,Arizona,270
2022,8,Arizona,193
2022,9,Arizona,137
2022,10,Arizona,101
2022,11,Arizona,74
2022,12,Arizona,43
2022,13,Arizona,23
2022,14,Arizona,21
2022,15,Arizona,19
2022,16,Arizona,14
2022,17,Arizona,20
2022,18,Arizona,12
2022,19,Arizona,20
2022,20,Arizona,17
2022,21,Arizona,17
2022,22,Arizona,29
2022,23,Arizona,27
2022,24,Arizona,48
2022,25,Arizona,35
2022,26,Arizona,41
2022,27,Arizona,36
2022,28,Arizona,38
2022,29,Arizona,43
2022,30,Arizona,44
2022,31,Arizona,28
2022,32,Arizona,37
2022,33,Arizona,24
2022,34,Arizona,17
2022,35,Arizona,35
2022,36,Arizona,19
2022,37,Arizona,24
2022,38,Arizona,23
2022,39,Arizona,22
2022,40,Arizona,17
2022,41,Arizona,21
2022,42,Arizona,18
2022,43,Arizona,20
2022,44,Arizona,31
2022,45,Arizona,23
2022,46,Arizona,45
2022,47,Arizona,61
2022,48,Arizona,81
2022,49,Arizona,101
2022,50,Arizona,94
2022,51,Arizona,74
2022,52,Arizona,63
2023,1,Arizona,68
2023,2,Arizona,40
2023,3,Arizona,22
2023,4,Arizona,28
2023,5,Arizona,20
2023,6,Arizona,17
2023,7,Arizona,21
2023,8,Arizona,17
2023,9,Arizona,25
2023,10,Arizona,19
2023,11,Arizona,26
2023,12,Arizona,21
2023,13,Arizona,22
2023,14,Arizona,13
2023,15,Arizona,21
2023,16,Arizona,22
2023,17,Arizona,24
2023,18,Arizona,22
2023,19,Arizona,16
2023,20,Arizona,13
2023,21,Arizona,23
2023,22,Arizona,10
2023,23,Arizona,
2023,24,Arizona,17
2023,25,Arizona,
2023,26,Arizona,
2023,27,Arizona,15
2023,28,Arizona,13
2023,29,Arizona,15
2023,30,Arizona,
2023,31,Arizona,
2023,32,Arizona,
2023,33,Arizona,
2023,34,Arizona,
2023,35,Arizona,10
2023,36,Arizona,13
2023,37,Arizona,12
2020,1,Arkansas,0
2020,2,Arkansas,0
2020,3,Arkansas,0
2020,4,Arkansas,0
2020,5,Arkansas,0
2020,6,Arkansas,0
2020,7,Arkansas,0
2020,8,Arkansas,0
2020,9,Arkansas,0
2020,10,Arkansas,0
2020,11,Arkansas,0
2020,12,Arkansas,0
2020,13,Arkansas,
2020,14,Arkansas,11
2020,15,Arkansas,12
2020,16,Arkansas,11
2020,17,Arkansas,12
2020,18,Arkansas,18
2020,19,Arkansas,20
2020,20,Arkansas,
2020,21,Arkansas,15
2020,22,Arkansas,14
2020,23,Arkansas,18
2020,24,Arkansas,33
2020,25,Arkansas,36
2020,26,Arkansas,38
2020,27,Arkansas,36
2020,28,Arkansas,42
2020,29,Arkansas,53
2020,30,Arkansas,67
2020,31,Arkansas,77
2020,32,Arkansas,81
2020,33,Arkansas,76
2020,34,Arkansas,84
2020,35,Arkansas,88
2020,36,Arkansas,81
2020,37,Arkansas,87
2020,38,Arkansas,65
2020,39,Arkansas,81
2020,40,Arkansas,99
2020,41,Arkansas,130
2020,42,Arkansas,126
2020,43,Arkansas,124
2020,44,Arkansas,127
2020,45,Arkansas,130
2020,46,Arkansas,168
2020,47,Arkansas,167
2020,48,Arkansas,207
2020,49,Arkansas,244
2020,50,Arkansas,207
2020,51,Arkansas,241
2020,52,Arkansas,218
2020,53,Arkansas,256
2021,1,Arkansas,246
2021,2,Arkansas,269
2021,3,Arkansas,261
2021,4,Arkansas,189
2021,5,Arkansas,148
2021,6,Arkansas,118
2021,7,Arkansas,86
2021,8,Arkansas,76
2021,9,Arkansas,62
2021,10,Arkansas,42
2021,11,Arkansas,37
2021,12,Arkansas,25
2021,13,Arkansas,17
2021,14,Arkansas,21
2021,15,Arkansas,11
2021,16,Arkansas,13
2021,17,Arkansas,14
2021,18,Arkansas,17
2021,19,Arkansas,25
2021,20,Arkansas,16
2021,21,Arkansas,12
2021,22,Arkansas,18
2021,23,Arkansas,17
2021,24,Arkansas,26
2021,25,Arkansas,31
2021,26,Arkansas,38
2021,27,Arkansas,56
2021,28,Arkansas,68
2021,29,Arkansas,107
2021,30,Arkansas,127
2021,31,Arkansas,178
2021,32,Arkansas,213
2021,33,Arkansas,217
2021,34,Arkansas,196
2021,35,Arkansas,203
2021,36,Arkansas,184
2021,37,Arkansas,165
2021,38,Arkansas,147
2021,39,Arkansas,142
2021,40,Arkansas,110
2021,41,Arkansas,83
2021,42,Arkansas,73
2021,43,Arkansas,68
2021,44,Arkansas,53
2021,45,Arkansas,41
2021,46,Arkansas,39
2021,47,Arkansas,50
2021,48,Arkansas,75
2021,49,Arkansas,65
2021,50,Arkansas,95
2021,51,Arkansas,66
2021,52,Arkansas,76
2022,1,Arkansas,110
2022,2,Arkansas,132
2022,3,Arkansas,184
2022,4,Arkansas,201
2022,5,Arkansas,223
2022,6,Arkansas,211
2022,7,Arkansas,166
2022,8,Arkansas,111
2022,9,Arkansas,69
2022,10,Arkansas,46
2022,11,Arkansas,17
2022,12,Arkansas,27
2022,13,Arkansas,13
2022,14,Arkansas,11
2022,15,Arkansas,
2022,16,Arkansas,
2022,17,Arkansas,
2022,18,Arkansas,11
2022,19,Arkansas,
2022,20,Arkansas,
2022,21,Arkansas,
2022,22,Arkansas,
2022,23,Arkansas,
2022,24,Arkansas,10
2022,25,Arkansas,
2022,26,Arkansas,
2022,27,Arkansas,19
2022,28,Arkansas,27
2022,29,Arkansas,21
2022,30,Arkansas,25
2022,31,Arkansas,33
2022,32,Arkansas,28
2022,33,Arkansas,27
2022,34,Arkansas,32
2022,35,Arkansas,21
2022,36,Arkansas,27
2022,37,Arkansas,17
2022,38,Arkansas,21
2022,39,Arkansas,23
2022,40,Arkansas,24
2022,41,Arkansas,
2022,42,Arkansas,
2022,43,Arkansas,11
2022,44,Arkansas,11
2022,45,Arkansas,
2022,46,Arkansas,20
2022,47,Arkansas,
2022,48,Arkansas,12
2022,49,Arkansas,18
2022,50,Arkansas,22
2022,51,Arkansas,19
2022,52,Arkansas,23
2023,1,Arkansas,31
2023,2,Arkansas,30
2023,3,Arkansas,24
2023,4,Arkansas,26
2023,5,Arkansas,18
2023,6,Arkansas,18
2023,7,Arkansas,16
2023,8,Arkansas,19
2023,9,Arkansas,
2023,10,Arkansas,
2023,11,Arkansas,
2023,12,Arkansas,
2023,13,Arkansas,
2023,14,Arkansas,
2023,15,Arkansas,10
2023,16,Arkansas,
2023,17,Arkansas,
2023,18,Arkansas,11
2023,19,Arkansas,
2023,20,Arkansas,
2023,21,Arkansas,
2023,22,Arkansas,
2023,23,Arkansas,
2023,24,Arkansas,
2023,25,Arkansas,
2023,26,Arkansas,
2023,27,Arkansas,
2023,28,Arkansas,
2023,29,Arkansas,
2023,30,Arkansas,
2023,31,Arkansas,
2023,32,Arkansas,
2023,33,Arkansas,
2023,34,Arkansas,10
2023,35,Arkansas,
2023,36,Arkansas,
2023,37,Arkansas,11
2020,1,California,0
2020,2,California,0
2020,3,California,0
2020,4,California,0
2020,5,California,0
2020,6,California,0
2020,7,California,0
2020,8,California,
2020,9,California,0
2020,10,California,
2020,11,California,
2020,12,California,41
2020,13,California,128
2020,14,California,275
2020,15,California,370
2020,16,California,522
2020,17,California,515
2020,18,California,524
2020,19,California,525
2020,20,California,482
2020,21,California,465
2020,22,California,443
2020,23,California,425
2020,24,California,415
2020,25,California,420
2020,26,California,454
2020,27,California,600
2020,28,California,695
2020,29,California,832
2020,30,California,922
2020,31,California,951
2020,32,California,932
2020,33,California,809
2020,34,California,762
2020,35,California,670
2020,36,California,549
2020,37,California,481
2020,38,California,442
2020,39,California,406
2020,40,California,310
2020,41,California,334
2020,42,California,260
2020,43,California,268
2020,44,California,292
2020,45,California,320
2020,46,California,402
2020,47,California,578
2020,48,California,793
2020,49,California,"1,232"
2020,50,California,"1,85"
2020,51,California,"2,771"
2020,52,California,"3,721"
2020,53,California,"4,501"
2021,1,California,"5,01"
2021,2,California,"4,782"
2021,3,California,"4,098"
2021,4,California,"3,32"
2021,5,California,"2,715"
2021,6,California,"2,086"
2021,7,California,"1,522"
2021,8,California,"1,097"
2021,9,California,744
2021,10,California,522
2021,11,California,428
2021,12,California,301
2021,13,California,217
2021,14,California,225
2021,15,California,187
2021,16,California,173
2021,17,California,136
2021,18,California,129
2021,19,California,123
2021,20,California,121
2021,21,California,107
2021,22,California,95
2021,23,California,72
2021,24,California,87
2021,25,California,71
2021,26,California,77
2021,27,California,97
2021,28,California,122
2021,29,California,178
2021,30,California,264
2021,31,California,404
2021,32,California,627
2021,33,California,782
2021,34,California,939
2021,35,California,"1,016"
2021,36,California,"1,05"
2021,37,California,931
2021,38,California,845
2021,39,California,772
2021,40,California,661
2021,41,California,530
2021,42,California,538
2021,43,California,530
2021,44,California,520
2021,45,California,547
2021,46,California,542
2021,47,California,479
2021,48,California,465
2021,49,California,420
2021,50,California,506
2021,51,California,470
2021,52,California,556
2022,1,California,826
2022,2,California,"1,234"
2022,3,California,"1,659"
2022,4,California,"1,715"
2022,5,California,"1,714"
2022,6,California,"1,275"
2022,7,California,936
2022,8,California,659
2022,9,California,451
2022,10,California,330
2022,11,California,202
2022,12,California,167
2022,13,California,102
2022,14,California,96
2022,15,California,72
2022,16,California,58
2022,17,California,74
2022,18,California,50
2022,19,California,86
2022,20,California,94
2022,21,California,118
2022,22,California,107
2022,23,California,157
2022,24,California,148
2022,25,California,165
2022,26,California,199
2022,27,California,223
2022,28,California,222
2022,29,California,252
2022,30,California,293
2022,31,California,282
2022,32,California,234
2022,33,California,207
2022,34,California,170
2022,35,California,169
2022,36,California,153
2022,37,California,130
2022,38,California,141
2022,39,California,125
2022,40,California,81
2022,41,California,77
2022,42,California,67
2022,43,California,90
2022,44,California,88
2022,45,California,102
2022,46,California,126
2022,47,California,162
2022,48,California,205
2022,49,California,274
2022,50,California,260
2022,51,California,309
2022,52,California,313
2023,1,California,290
2023,2,California,245
2023,3,California,181
2023,4,California,167
2023,5,California,120
2023,6,California,129
2023,7,California,131
2023,8,California,138
2023,9,California,130
2023,10,California,135
2023,11,California,96
2023,12,California,97
2023,13,California,83
2023,14,California,80
2023,15,California,74
2023,16,California,83
2023,17,California,66
2023,18,California,51
2023,19,California,55
2023,20,California,45
2023,21,California,62
2023,22,California,54
2023,23,California,47
2023,24,California,43
2023,25,California,51
2023,26,California,40
2023,27,California,28
2023,28,California,42
2023,29,California,43
2023,30,California,56
2023,31,California,50
2023,32,California,49
2023,33,California,76
2023,34,California,90
2023,35,California,89
2023,36,California,82
2023,37,California,75
2020,1,Colorado,0
2020,2,Colorado,0
2020,3,Colorado,0
2020,4,Colorado,0
2020,5,Colorado,0
2020,6,Colorado,0
2020,7,Colorado,0
2020,8,Colorado,0
2020,9,Colorado,0
2020,10,Colorado,0
2020,11,Colorado,
2020,12,Colorado,12
2020,13,Colorado,45
2020,14,Colorado,124
2020,15,Colorado,202
2020,16,Colorado,197
2020,17,Colorado,211
2020,18,Colorado,174
2020,19,Colorado,127
2020,20,Colorado,81
2020,21,Colorado,79
