MMWR Year,MMWR Week,Jurisdiction of Occurrence,"COVID-19 (U071, Multiple Cause of Death)"
2020,1,United States,0
2020,2,United States,1
2020,3,United States,2
2020,4,United States,3
2020,5,United States,0
2020,6,United States,4
2020,7,United States,6
2020,8,United States,6
2020,9,United States,9
2020,10,United States,38
2020,11,United States,60
2020,12,United States,588
2020,13,United States,"3,226"
2020,14,United States,"10,141"
2020,15,United States,"16,347"
2020,16,United States,"17,221"
2020,17,United States,"15,557"
2020,18,United States,"13,223"
2020,19,United States,"11,243"
2020,20,United States,"9,239"
2020,21,United States,"7,249"
2020,22,United States,"6,176"
2020,23,United States,"5,06"
2020,24,United States,"4,233"
2020,25,United States,"3,852"
2020,26,United States,"3,846"
2020,27,United States,"4,557"
2020,28,United States,"5,786"
2020,29,United States,"7,198"
2020,30,United States,"8,25"
2020,31,United States,"8,308"
2020,32,United States,"7,87"
2020,33,United States,"7,27"
2020,34,United States,"6,389"
2020,35,United States,"5,755"
2020,36,United States,"5,021"
2020,37,United States,"4,628"
2020,38,United States,"4,28"
2020,39,United States,"4,305"
2020,40,United States,"4,246"
2020,41,United States,"4,823"
2020,42,United States,"5,204"
2020,43,United States,6
2020,44,United States,"7,031"
2020,45,United States,"8,766"
2020,46,United States,"10,654"
2020,47,United States,"13,365"
2020,48,United States,"15,628"
2020,49,United States,"18,578"
2020,50,United States,"20,941"
2020,51,United States,"22,342"
2020,52,United States,"23,399"
2020,53,United States,"24,895"
2021,1,United States,"26,028"
2021,2,United States,"25,743"
2021,3,United States,"23,734"
2021,4,United States,"20,363"
2021,5,United States,"17,069"
2021,6,United States,"13,551"
2021,7,United States,"10,835"
2021,8,United States,"8,675"
2021,9,United States,"6,742"
2021,10,United States,"5,734"
2021,11,United States,"4,912"
2021,12,United States,"4,465"
2021,13,United States,"4,213"
2021,14,United States,"4,325"
2021,15,United States,"4,462"
2021,16,United States,"4,615"
2021,17,United States,"4,181"
2021,18,United States,"4,015"
2021,19,United States,"3,694"
2021,20,United States,"3,246"
2021,21,United States,"2,783"
2021,22,United States,"2,353"
2021,23,United States,"2,049"
2021,24,United States,"1,783"
2021,25,United States,"1,642"
2021,26,United States,"1,549"
2021,27,United States,"1,65"
2021,28,United States,"1,996"
2021,29,United States,"2,77"
2021,30,United States,"4,126"
2021,31,United States,"6,503"
2021,32,United States,"9,425"
2021,33,United States,"12,207"
2021,34,United States,"14,212"
2021,35,United States,"15,539"
2021,36,United States,"15,454"
2021,37,United States,"15,246"
2021,38,United States,"14,375"
2021,39,United States,"12,858"
2021,40,United States,"11,199"
2021,41,United States,"9,902"
2021,42,United States,"8,957"
2021,43,United States,"7,975"
2021,44,United States,"7,302"
2021,45,United States,"7,174"
2021,46,United States,"7,327"
2021,47,United States,"7,897"
2021,48,United States,"8,793"
2021,49,United States,"9,744"
2021,50,United States,"10,268"
2021,51,United States,"10,476"
2021,52,United States,"11,7"
2022,1,United States,"15,155"
2022,2,United States,"19,132"
2022,3,United States,"21,394"
2022,4,United States,"21,016"
2022,5,United States,"18,797"
2022,6,United States,"15,351"
2022,7,United States,"11,591"
2022,8,United States,"8,302"
2022,9,United States,"6,056"
2022,10,United States,"4,411"
2022,11,United States,"3,129"
2022,12,United States,"2,511"
2022,13,United States,"1,91"
2022,14,United States,"1,559"
2022,15,United States,"1,41"
2022,16,United States,"1,347"
2022,17,United States,"1,427"
2022,18,United States,"1,433"
2022,19,United States,"1,675"
2022,20,United States,"1,747"
2022,21,United States,"1,944"
2022,22,United States,"2,01"
2022,23,United States,"2,14"
2022,24,United States,"2,2"
2022,25,United States,"2,333"
2022,26,United States,"2,428"
2022,27,United States,"2,592"
2022,28,United States,"2,937"
2022,29,United States,"3,235"
2022,30,United States,"3,407"
2022,31,United States,"3,378"
2022,32,United States,"3,291"
2022,33,United States,"3,171"
2022,34,United States,"3,054"
2022,35,United States,"2,931"
2022,36,United States,"2,81"
2022,37,United States,"2,516"
2022,38,United States,"2,547"
2022,39,United States,"2,379"
2022,40,United States,"2,197"
2022,41,United States,"2,146"
2022,42,United States,"2,193"
2022,43,United States,"2,245"
2022,44,United States,"2,248"
2022,45,United States,"2,205"
2022,46,United States,"2,257"
2022,47,United States,"2,499"
2022,48,United States,"2,596"
2022,49,United States,"3,037"
2022,50,United States,"3,19"
2022,51,United States,"3,324"
2022,52,United States,"3,666"
2023,1,United States,"3,874"
2023,2,United States,"3,693"
2023,3,United States,"3,247"
2023,4,United States,"2,91"
2023,5,United States,"2,644"
2023,6,United States,"2,345"
2023,7,United States,"2,101"
2023,8,United States,"2,151"
2023,9,United States,"1,992"
2023,10,United States,"1,846"
2023,11,United States,"1,761"
2023,12,United States,"1,667"
2023,13,United States,"1,443"
2023,14,United States,"1,367"
2023,15,United States,"1,218"
2023,16,United States,"1,191"
2023,17,United States,"1,02"
2023,18,United States,946
2023,19,United States,830
2023,20,United States,755
2023,21,United States,736
2023,22,United States,687
2023,23,United States,623
2023,24,United States,603
2023,25,United States,573
2023,26,United States,534
2023,27,United States,474
2023,28,United States,505
2023,29,United States,525
2023,30,United States,529
2023,31,United States,656
2023,32,United States,733
2023,33,United States,881
2023,34,United States,993
2023,35,United States,"1,079"
2023,36,United States,"1,104"
2023,37,United States,964
2020,1,Alabama,0
2020,2,Alabama,0
2020,3,Alabama,0
2020,4,Alabama,
2020,5,Alabama,0
2020,6,Alabama,0
2020,7,Alabama,0
2020,8,Alabama,0
2020,9,Alabama,
2020,10,Alabama,0
2020,11,Alabama,0
2020,12,Alabama,
2020,13,Alabama,23
2020,14,Alabama,49
2020,15,Alabama,81
2020,16,Alabama,89
2020,17,Alabama,85
2020,18,Alabama,81
2020,19,Alabama,116
2020,20,Alabama,96
2020,21,Alabama,82
2020,22,Alabama,103
2020,23,Alabama,91
2020,24,Alabama,81
2020,25,Alabama,88
2020,26,Alabama,103
2020,27,Alabama,125
2020,28,Alabama,135
2020,29,Alabama,192
2020,30,Alabama,251
2020,31,Alabama,263
2020,32,Alabama,264
2020,33,Alabama,230
2020,34,Alabama,209
2020,35,Alabama,185
2020,36,Alabama,156
2020,37,Alabama,138
2020,38,Alabama,139
2020,39,Alabama,105
2020,40,Alabama,111
2020,41,Alabama,137
2020,42,Alabama,126
2020,43,Alabama,119
2020,44,Alabama,131
2020,45,Alabama,151
2020,46,Alabama,176
2020,47,Alabama,168
2020,48,Alabama,202
2020,49,Alabama,251
2020,50,Alabama,378
2020,51,Alabama,390
2020,52,Alabama,452
2020,53,Alabama,508
2021,1,Alabama,548
2021,2,Alabama,596
2021,3,Alabama,583
2021,4,Alabama,490
2021,5,Alabama,347
2021,6,Alabama,265
2021,7,Alabama,214
2021,8,Alabama,170
2021,9,Alabama,110
2021,10,Alabama,104
2021,11,Alabama,81
2021,12,Alabama,78
2021,13,Alabama,67
2021,14,Alabama,53
2021,15,Alabama,43
2021,16,Alabama,45
2021,17,Alabama,46
2021,18,Alabama,63
2021,19,Alabama,50
2021,20,Alabama,50
2021,21,Alabama,33
2021,22,Alabama,36
2021,23,Alabama,34
2021,24,Alabama,24
2021,25,Alabama,36
2021,26,Alabama,22
2021,27,Alabama,37
2021,28,Alabama,43
2021,29,Alabama,63
2021,30,Alabama,109
2021,31,Alabama,226
2021,32,Alabama,345
2021,33,Alabama,420
2021,34,Alabama,477
2021,35,Alabama,497
2021,36,Alabama,548
2021,37,Alabama,474
2021,38,Alabama,410
2021,39,Alabama,366
2021,40,Alabama,259
2021,41,Alabama,217
2021,42,Alabama,157
2021,43,Alabama,99
2021,44,Alabama,85
2021,45,Alabama,86
2021,46,Alabama,51
2021,47,Alabama,59
2021,48,Alabama,69
2021,49,Alabama,56
2021,50,Alabama,71
2021,51,Alabama,74
2021,52,Alabama,83
2022,1,Alabama,153
2022,2,Alabama,245
2022,3,Alabama,294
2022,4,Alabama,422
2022,5,Alabama,401
2022,6,Alabama,381
2022,7,Alabama,305
2022,8,Alabama,240
2022,9,Alabama,159
2022,10,Alabama,106
2022,11,Alabama,73
2022,12,Alabama,55
2022,13,Alabama,35
2022,14,Alabama,30
2022,15,Alabama,17
2022,16,Alabama,21
2022,17,Alabama,16
2022,18,Alabama,20
2022,19,Alabama,11
2022,20,Alabama,15
2022,21,Alabama,11
2022,22,Alabama,19
2022,23,Alabama,26
2022,24,Alabama,25
2022,25,Alabama,21
2022,26,Alabama,42
2022,27,Alabama,45
2022,28,Alabama,66
2022,29,Alabama,57
2022,30,Alabama,62
2022,31,Alabama,68
2022,32,Alabama,72
2022,33,Alabama,56
2022,34,Alabama,50
2022,35,Alabama,53
2022,36,Alabama,55
2022,37,Alabama,44
2022,38,Alabama,46
2022,39,Alabama,29
2022,40,Alabama,23
2022,41,Alabama,20
2022,42,Alabama,21
2022,43,Alabama,30
2022,44,Alabama,18
2022,45,Alabama,19
2022,46,Alabama,25
2022,47,Alabama,25
2022,48,Alabama,30
2022,49,Alabama,39
2022,50,Alabama,44
2022,51,Alabama,35
2022,52,Alabama,42
2023,1,Alabama,57
2023,2,Alabama,61
2023,3,Alabama,60
2023,4,Alabama,55
2023,5,Alabama,55
2023,6,Alabama,30
2023,7,Alabama,40
2023,8,Alabama,48
2023,9,Alabama,21
2023,10,Alabama,28
2023,11,Alabama,18
2023,12,Alabama,26
2023,13,Alabama,22
2023,14,Alabama,25
2023,15,Alabama,12
2023,16,Alabama,12
2023,17,Alabama,17
2023,18,Alabama,16
2023,19,Alabama,15
2023,20,Alabama,12
2023,21,Alabama,11
2023,22,Alabama,
2023,23,Alabama,
2023,24,Alabama,
2023,25,Alabama,10
2023,26,Alabama,15
2023,27,Alabama,10
2023,28,Alabama,
2023,29,Alabama,
2023,30,Alabama,13
2023,31,Alabama,18
2023,32,Alabama,22
2023,33,Alabama,22
2023,34,Alabama,12
2023,35,Alabama,24
2023,36,Alabama,22
2023,37,Alabama,15
2020,1,Alaska,0
2020,2,Alaska,0
2020,3,Alaska,0
2020,4,Alaska,0
2020,5,Alaska,0
2020,6,Alaska,0
2020,7,Alaska,0
2020,8,Alaska,0
2020,9,Alaska,0
2020,10,Alaska,0
2020,11,Alaska,0
2020,12,Alaska,0
2020,13,Alaska,
2020,14,Alaska,
2020,15,Alaska,
2020,16,Alaska,
2020,17,Alaska,0
2020,18,Alaska,0
2020,19,Alaska,
2020,20,Alaska,0
2020,21,Alaska,0
2020,22,Alaska,0
2020,23,Alaska,0
2020,24,Alaska,
2020,25,Alaska,0
2020,26,Alaska,0
2020,27,Alaska,
2020,28,Alaska,
2020,29,Alaska,
2020,30,Alaska,
2020,31,Alaska,
2020,32,Alaska,
2020,33,Alaska,
2020,34,Alaska,
2020,35,Alaska,
2020,36,Alaska,
2020,37,Alaska,
2020,38,Alaska,
2020,39,Alaska,
2020,40,Alaska,
2020,41,Alaska,
2020,42,Alaska,10
2020,43,Alaska,
2020,44,Alaska,10
2020,45,Alaska,
2020,46,Alaska,16
2020,47,Alaska,15
2020,48,Alaska,21
2020,49,Alaska,31
2020,50,Alaska,24
2020,51,Alaska,20
2020,52,Alaska,24
2020,53,Alaska,10
2021,1,Alaska,13
2021,2,Alaska,
2021,3,Alaska,
2021,4,Alaska,
2021,5,Alaska,
2021,6,Alaska,
2021,7,Alaska,
2021,8,Alaska,
2021,9,Alaska,
2021,10,Alaska,
2021,11,Alaska,
2021,12,Alaska,
2021,13,Alaska,
2021,14,Alaska,
2021,15,Alaska,
2021,16,Alaska,
2021,17,Alaska,
2021,18,Alaska,13
2021,19,Alaska,10
2021,20,Alaska,
2021,21,Alaska,
2021,22,Alaska,
2021,23,Alaska,
2021,24,Alaska,
2021,25,Alaska,
2021,26,Alaska,
2021,27,Alaska,
2021,28,Alaska,0
2021,29,Alaska,
2021,30,Alaska,16
2021,31,Alaska,26
2021,32,Alaska,23
2021,33,Alaska,23
2021,34,Alaska,22
2021,35,Alaska,38
2021,36,Alaska,31
2021,37,Alaska,42
2021,38,Alaska,55
2021,39,Alaska,57
2021,40,Alaska,43
2021,41,Alaska,44
2021,42,Alaska,50
2021,43,Alaska,59
2021,44,Alaska,38
2021,45,Alaska,25
2021,46,Alaska,25
2021,47,Alaska,29
2021,48,Alaska,17
2021,49,Alaska,17
2021,50,Alaska,
2021,51,Alaska,10
2021,52,Alaska,
2022,1,Alaska,16
2022,2,Alaska,13
2022,3,Alaska,17
2022,4,Alaska,20
2022,5,Alaska,15
2022,6,Alaska,25
2022,7,Alaska,22
2022,8,Alaska,15
2022,9,Alaska,16
2022,10,Alaska,
2022,11,Alaska,
2022,12,Alaska,
2022,13,Alaska,
2022,14,Alaska,
2022,15,Alaska,
2022,16,Alaska,
2022,17,Alaska,
2022,18,Alaska,
2022,19,Alaska,
2022,20,Alaska,
2022,21,Alaska,
2022,22,Alaska,
2022,23,Alaska,
2022,24,Alaska,
2022,25,Alaska,
2022,26,Alaska,
2022,27,Alaska,
2022,28,Alaska,
2022,29,Alaska,
2022,30,Alaska,
2022,31,Alaska,
2022,32,Alaska,
2022,33,Alaska,
2022,34,Alaska,
2022,35,Alaska,
2022,36,Alaska,
2022,37,Alaska,
2022,38,Alaska,
2022,39,Alaska,
2022,40,Alaska,
2022,41,Alaska,
2022,42,Alaska,
2022,43,Alaska,
2022,44,Alaska,
2022,45,Alaska,0
2022,46,Alaska,
2022,47,Alaska,
2022,48,Alaska,0
2022,49,Alaska,
2022,50,Alaska,
2022,51,Alaska,
2022,52,Alaska,
2023,1,Alaska,
2023,2,Alaska,
2023,3,Alaska,
2023,4,Alaska,
2023,5,Alaska,0
2023,6,Alaska,
2023,7,Alaska,
2023,8,Alaska,
2023,9,Alaska,
2023,10,Alaska,
2023,11,Alaska,
2023,12,Alaska,
2023,13,Alaska,0
2023,14,Alaska,0
2023,15,Alaska,
2023,16,Alaska,
2023,17,Alaska,
2023,18,Alaska,
2023,19,Alaska,
2023,20,Alaska,
2023,21,Alaska,
2023,22,Alaska,
2023,23,Alaska,
2023,24,Alaska,
2023,25,Alaska,
2023,26,Alaska,0
2023,27,Alaska,
2023,28,Alaska,
2023,29,Alaska,
2023,30,Alaska,
2023,31,Alaska,
2023,32,Alaska,
2023,33,Alaska,0
2023,34,Alaska,
2023,35,Alaska,
2023,36,Alaska,
2023,37,Alaska,0
2020,1,Arizona,0
2020,2,Arizona,0
2020,3,Arizona,0
2020,4,Arizona,0
2020,5,Arizona,0
2020,6,Arizona,0
2020,7,Arizona,0
2020,8,Arizona,0
2020,9,Arizona,0
2020,10,Arizona,0
2020,11,Arizona,
2020,12,Arizona,
2020,13,Arizona,31
2020,14,Arizona,58
2020,15,Arizona,91
2020,16,Arizona,96
2020,17,Arizona,106
2020,18,Arizona,106
2020,19,Arizona,126
2020,20,Arizona,118
2020,21,Arizona,99
2020,22,Arizona,116
2020,23,Arizona,132
2020,24,Arizona,173
2020,25,Arizona,207
2020,26,Arizona,258
2020,27,Arizona,388
2020,28,Arizona,508
2020,29,Arizona,548
2020,30,Arizona,477
2020,31,Arizona,390
2020,32,Arizona,305
2020,33,Arizona,249
2020,34,Arizona,174
2020,35,Arizona,129
2020,36,Arizona,96
2020,37,Arizona,61
2020,38,Arizona,66
2020,39,Arizona,56
2020,40,Arizona,35
2020,41,Arizona,53
2020,42,Arizona,47
2020,43,Arizona,63
2020,44,Arizona,82
2020,45,Arizona,125
2020,46,Arizona,124
2020,47,Arizona,203
2020,48,Arizona,307
2020,49,Arizona,416
2020,50,Arizona,574
2020,51,Arizona,734
2020,52,Arizona,765
2020,53,Arizona,883
2021,1,Arizona,942
2021,2,Arizona,996
2021,3,Arizona,959
2021,4,Arizona,776
2021,5,Arizona,660
2021,6,Arizona,505
2021,7,Arizona,338
2021,8,Arizona,237
2021,9,Arizona,184
2021,10,Arizona,129
2021,11,Arizona,122
2021,12,Arizona,75
2021,13,Arizona,56
2021,14,Arizona,64
2021,15,Arizona,57
2021,16,Arizona,43
2021,17,Arizona,54
2021,18,Arizona,63
2021,19,Arizona,57
2021,20,Arizona,54
2021,21,Arizona,48
2021,22,Arizona,41
2021,23,Arizona,35
2021,24,Arizona,44
2021,25,Arizona,46
2021,26,Arizona,41
2021,27,Arizona,41
2021,28,Arizona,56
2021,29,Arizona,70
2021,30,Arizona,110
2021,31,Arizona,127
2021,32,Arizona,162
2021,33,Arizona,180
2021,34,Arizona,214
2021,35,Arizona,274
2021,36,Arizona,281
2021,37,Arizona,266
2021,38,Arizona,286
2021,39,Arizona,272
2021,40,Arizona,245
2021,41,Arizona,263
2021,42,Arizona,231
2021,43,Arizona,279
2021,44,Arizona,268
2021,45,Arizona,353
2021,46,Arizona,380
2021,47,Arizona,450
2021,48,Arizona,469
2021,49,Arizona,542
2021,50,Arizona,483
2021,51,Arizona,482
2021,52,Arizona,434
2022,1,Arizona,428
2022,2,Arizona,459
2022,3,Arizona,500
2022,4,Arizona,500
2022,5,Arizona,492
2022,6,Arizona,415
2022,7,Arizona,312
2022,8,Arizona,232
2022,9,Arizona,177
2022,10,Arizona,131
2022,11,Arizona,100
2022,12,Arizona,67
2022,13,Arizona,42
2022,14,Arizona,32
2022,15,Arizona,25
2022,16,Arizona,22
2022,17,Arizona,29
2022,18,Arizona,23
2022,19,Arizona,25
2022,20,Arizona,34
2022,21,Arizona,32
2022,22,Arizona,38
2022,23,Arizona,38
2022,24,Arizona,65
2022,25,Arizona,54
2022,26,Arizona,57
2022,27,Arizona,46
2022,28,Arizona,55
2022,29,Arizona,63
2022,30,Arizona,71
2022,31,Arizona,48
2022,32,Arizona,55
2022,33,Arizona,45
2022,34,Arizona,31
2022,35,Arizona,49
2022,36,Arizona,33
2022,37,Arizona,38
2022,38,Arizona,35
2022,39,Arizona,40
2022,40,Arizona,25
2022,41,Arizona,28
2022,42,Arizona,27
2022,43,Arizona,35
2022,44,Arizona,44
2022,45,Arizona,42
2022,46,Arizona,66
2022,47,Arizona,83
2022,48,Arizona,112
2022,49,Arizona,140
2022,50,Arizona,123
2022,51,Arizona,109
2022,52,Arizona,89
2023,1,Arizona,90
2023,2,Arizona,63
2023,3,Arizona,42
2023,4,Arizona,38
2023,5,Arizona,36
2023,6,Arizona,29
2023,7,Arizona,29
2023,8,Arizona,35
2023,9,Arizona,35
2023,10,Arizona,34
2023,11,Arizona,41
2023,12,Arizona,30
2023,13,Arizona,34
2023,14,Arizona,26
2023,15,Arizona,29
2023,16,Arizona,33
2023,17,Arizona,31
2023,18,Arizona,33
2023,19,Arizona,23
2023,20,Arizona,21
2023,21,Arizona,33
2023,22,Arizona,21
2023,23,Arizona,18
2023,24,Arizona,24
2023,25,Arizona,13
2023,26,Arizona,12
2023,27,Arizona,24
2023,28,Arizona,18
2023,29,Arizona,18
2023,30,Arizona,12
2023,31,Arizona,10
2023,32,Arizona,12
2023,33,Arizona,
2023,34,Arizona,12
2023,35,Arizona,18
2023,36,Arizona,15
2023,37,Arizona,15
2020,1,Arkansas,0
2020,2,Arkansas,0
2020,3,Arkansas,0
2020,4,Arkansas,0
2020,5,Arkansas,0
2020,6,Arkansas,0
2020,7,Arkansas,0
2020,8,Arkansas,0
2020,9,Arkansas,0
2020,10,Arkansas,0
2020,11,Arkansas,0
2020,12,Arkansas,0
2020,13,Arkansas,
2020,14,Arkansas,11
2020,15,Arkansas,14
2020,16,Arkansas,12
2020,17,Arkansas,14
2020,18,Arkansas,22
2020,19,Arkansas,24
2020,20,Arkansas,
2020,21,Arkansas,20
2020,22,Arkansas,19
2020,23,Arkansas,26
2020,24,Arkansas,34
2020,25,Arkansas,45
2020,26,Arkansas,47
2020,27,Arkansas,41
2020,28,Arkansas,47
2020,29,Arkansas,57
2020,30,Arkansas,74
2020,31,Arkansas,88
2020,32,Arkansas,91
2020,33,Arkansas,92
2020,34,Arkansas,99
2020,35,Arkansas,95
2020,36,Arkansas,88
2020,37,Arkansas,105
2020,38,Arkansas,81
2020,39,Arkansas,94
2020,40,Arkansas,116
2020,41,Arkansas,140
2020,42,Arkansas,147
2020,43,Arkansas,148
2020,44,Arkansas,147
2020,45,Arkansas,150
2020,46,Arkansas,195
2020,47,Arkansas,198
2020,48,Arkansas,232
2020,49,Arkansas,266
2020,50,Arkansas,222
2020,51,Arkansas,260
2020,52,Arkansas,255
2020,53,Arkansas,281
2021,1,Arkansas,263
2021,2,Arkansas,305
2021,3,Arkansas,291
2021,4,Arkansas,222
2021,5,Arkansas,172
2021,6,Arkansas,132
2021,7,Arkansas,100
2021,8,Arkansas,88
2021,9,Arkansas,74
2021,10,Arkansas,53
2021,11,Arkansas,41
2021,12,Arkansas,35
2021,13,Arkansas,21
2021,14,Arkansas,27
2021,15,Arkansas,17
2021,16,Arkansas,15
2021,17,Arkansas,20
2021,18,Arkansas,22
2021,19,Arkansas,29
2021,20,Arkansas,20
2021,21,Arkansas,15
2021,22,Arkansas,21
2021,23,Arkansas,21
2021,24,Arkansas,32
2021,25,Arkansas,34
2021,26,Arkansas,44
2021,27,Arkansas,61
2021,28,Arkansas,76
2021,29,Arkansas,117
2021,30,Arkansas,142
2021,31,Arkansas,190
2021,32,Arkansas,233
2021,33,Arkansas,232
2021,34,Arkansas,218
2021,35,Arkansas,221
2021,36,Arkansas,191
2021,37,Arkansas,174
2021,38,Arkansas,163
2021,39,Arkansas,148
2021,40,Arkansas,122
2021,41,Arkansas,91
2021,42,Arkansas,78
2021,43,Arkansas,74
2021,44,Arkansas,56
2021,45,Arkansas,49
2021,46,Arkansas,47
2021,47,Arkansas,57
2021,48,Arkansas,87
2021,49,Arkansas,67
2021,50,Arkansas,100
2021,51,Arkansas,73
2021,52,Arkansas,85
2022,1,Arkansas,121
2022,2,Arkansas,152
2022,3,Arkansas,215
2022,4,Arkansas,238
2022,5,Arkansas,258
2022,6,Arkansas,249
2022,7,Arkansas,196
2022,8,Arkansas,132
2022,9,Arkansas,89
2022,10,Arkansas,60
2022,11,Arkansas,31
2022,12,Arkansas,41
2022,13,Arkansas,20
2022,14,Arkansas,21
2022,15,Arkansas,16
2022,16,Arkansas,11
2022,17,Arkansas,
2022,18,Arkansas,15
2022,19,Arkansas,11
2022,20,Arkansas,11
2022,21,Arkansas,
2022,22,Arkansas,10
2022,23,Arkansas,12
2022,24,Arkansas,17
2022,25,Arkansas,18
2022,26,Arkansas,17
2022,27,Arkansas,29
2022,28,Arkansas,38
2022,29,Arkansas,31
2022,30,Arkansas,41
2022,31,Arkansas,42
2022,32,Arkansas,35
2022,33,Arkansas,35
2022,34,Arkansas,51
2022,35,Arkansas,34
2022,36,Arkansas,39
2022,37,Arkansas,29
2022,38,Arkansas,34
2022,39,Arkansas,36
2022,40,Arkansas,38
2022,41,Arkansas,25
2022,42,Arkansas,12
2022,43,Arkansas,19
2022,44,Arkansas,14
2022,45,Arkansas,13
2022,46,Arkansas,30
2022,47,Arkansas,19
2022,48,Arkansas,19
2022,49,Arkansas,29
2022,50,Arkansas,29
2022,51,Arkansas,34
2022,52,Arkansas,31
2023,1,Arkansas,39
2023,2,Arkansas,48
2023,3,Arkansas,38
2023,4,Arkansas,38
2023,5,Arkansas,29
2023,6,Arkansas,24
2023,7,Arkansas,25
2023,8,Arkansas,21
2023,9,Arkansas,11
2023,10,Arkansas,16
2023,11,Arkansas,12
2023,12,Arkansas,12
2023,13,Arkansas,
2023,14,Arkansas,
2023,15,Arkansas,11
2023,16,Arkansas,12
2023,17,Arkansas,11
2023,18,Arkansas,12
2023,19,Arkansas,
2023,20,Arkansas,14
2023,21,Arkansas,
2023,22,Arkansas,
2023,23,Arkansas,
2023,24,Arkansas,
2023,25,Arkansas,
2023,26,Arkansas,
2023,27,Arkansas,
2023,28,Arkansas,
2023,29,Arkansas,
2023,30,Arkansas,
2023,31,Arkansas,
2023,32,Arkansas,
2023,33,Arkansas,
2023,34,Arkansas,14
2023,35,Arkansas,13
2023,36,Arkansas,10
2023,37,Arkansas,14
2020,1,California,0
2020,2,California,0
2020,3,California,
2020,4,California,0
2020,5,California,0
2020,6,California,
2020,7,California,0
2020,8,California,
2020,9,California,0
2020,10,California,
2020,11,California,
2020,12,California,44
2020,13,California,132
2020,14,California,290
2020,15,California,382
2020,16,California,537
2020,17,California,532
2020,18,California,543
2020,19,California,553
2020,20,California,505
2020,21,California,487
2020,22,California,464
2020,23,California,448
2020,24,California,447
2020,25,California,459
2020,26,California,496
2020,27,California,646
2020,28,California,739
2020,29,California,893
2020,30,California,"1,012"
2020,31,California,"1,01"
2020,32,California,998
2020,33,California,878
2020,34,California,830
2020,35,California,728
2020,36,California,614
2020,37,California,530
2020,38,California,482
2020,39,California,453
2020,40,California,346
2020,41,California,375
2020,42,California,305
2020,43,California,296
2020,44,California,325
2020,45,California,355
2020,46,California,451
2020,47,California,627
2020,48,California,854
2020,49,California,"1,327"
2020,50,California,"1,971"
2020,51,California,"2,942"
2020,52,California,"3,942"
2020,53,California,"4,72"
2021,1,California,"5,267"
2021,2,California,"5,077"
2021,3,California,"4,356"
2021,4,California,"3,524"
2021,5,California,"2,893"
2021,6,California,"2,269"
2021,7,California,"1,661"
2021,8,California,"1,187"
2021,9,California,839
2021,10,California,608
2021,11,California,501
2021,12,California,369
2021,13,California,283
2021,14,California,269
2021,15,California,234
2021,16,California,221
2021,17,California,197
2021,18,California,183
2021,19,California,155
2021,20,California,154
2021,21,California,144
2021,22,California,115
2021,23,California,107
2021,24,California,112
2021,25,California,88
2021,26,California,98
2021,27,California,124
2021,28,California,150
2021,29,California,213
2021,30,California,295
2021,31,California,436
2021,32,California,677
2021,33,California,852
2021,34,California,"1,006"
2021,35,California,"1,088"
2021,36,California,"1,129"
2021,37,California,996
2021,38,California,914
2021,39,California,828
2021,40,California,709
2021,41,California,569
2021,42,California,588
2021,43,California,589
2021,44,California,576
2021,45,California,601
2021,46,California,591
2021,47,California,529
2021,48,California,515
2021,49,California,459
2021,50,California,544
2021,51,California,523
2021,52,California,625
2022,1,California,946
2022,2,California,"1,391"
2022,3,California,"1,891"
2022,4,California,"1,94"
2022,5,California,"1,954"
2022,6,California,"1,509"
2022,7,California,"1,106"
2022,8,California,812
2022,9,California,558
2022,10,California,432
2022,11,California,303
2022,12,California,242
2022,13,California,166
2022,14,California,136
2022,15,California,131
2022,16,California,100
2022,17,California,115
2022,18,California,107
2022,19,California,134
2022,20,California,146
2022,21,California,164
2022,22,California,154
2022,23,California,227
2022,24,California,210
2022,25,California,237
2022,26,California,285
2022,27,California,324
2022,28,California,323
2022,29,California,360
2022,30,California,406
2022,31,California,405
2022,32,California,333
2022,33,California,306
2022,34,California,254
2022,35,California,255
2022,36,California,254
2022,37,California,192
2022,38,California,208
2022,39,California,184
2022,40,California,134
2022,41,California,131
2022,42,California,113
2022,43,California,157
2022,44,California,143
2022,45,California,161
2022,46,California,169
2022,47,California,231
2022,48,California,307
2022,49,California,373
2022,50,California,366
2022,51,California,421
2022,52,California,414
2023,1,California,393
2023,2,California,349
2023,3,California,258
2023,4,California,247
2023,5,California,188
2023,6,California,184
2023,7,California,182
2023,8,California,191
2023,9,California,200
2023,10,California,202
2023,11,California,156
2023,12,California,135
2023,13,California,127
2023,14,California,126
2023,15,California,117
2023,16,California,126
2023,17,California,97
2023,18,California,84
2023,19,California,94
2023,20,California,64
2023,21,California,95
2023,22,California,83
2023,23,California,70
2023,24,California,62
2023,25,California,78
2023,26,California,58
2023,27,California,44
2023,28,California,61
2023,29,California,57
2023,30,California,77
2023,31,California,71
2023,32,California,63
2023,33,California,107
2023,34,California,118
2023,35,California,117
2023,36,California,111
2023,37,California,89
2020,1,Colorado,0
2020,2,Colorado,0
2020,3,Colorado,0
2020,4,Colorado,0
2020,5,Colorado,0
2020,6,Colorado,0
2020,7,Colorado,0
2020,8,Colorado,0
2020,9,Colorado,0
2020,10,Colorado,0
2020,11,Colorado,
2020,12,Colorado,17
2020,13,Colorado,47
